               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.022517,            0.013742,           0.0087487,             0.90815,             0.92807,              0.9399,             0.64677,            0.027607,             0.01281,            0.010269,            0.002872,            0.002872,            0.002872
                  38,            0.021692,             0.01379,            0.006749,             0.89959,             0.93237,             0.96736,             0.66028,            0.027771,             0.01244,           0.0090801,            0.002674,            0.002674,            0.002674
                  39,             0.02152,            0.013053,           0.0074913,             0.90946,             0.93468,             0.95354,              0.6503,            0.027788,            0.012465,           0.0085954,            0.002476,            0.002476,            0.002476
                  40,            0.021533,            0.013271,           0.0075148,              0.9042,             0.93474,             0.96644,             0.70466,              0.0267,             0.01199,           0.0079519,            0.002278,            0.002278,            0.002278
                  41,            0.021444,            0.012965,           0.0075098,             0.90243,             0.96243,             0.96577,             0.69445,            0.026344,            0.011803,           0.0080375,             0.00208,             0.00208,             0.00208
                  42,             0.02149,            0.013905,            0.007386,             0.89926,             0.96228,             0.95146,             0.68238,             0.02657,            0.011877,           0.0090876,            0.001882,            0.001882,            0.001882
                  43,            0.020467,            0.013823,           0.0072283,             0.88987,             0.95607,              0.9494,             0.68732,            0.026058,            0.011616,            0.010419,            0.001684,            0.001684,            0.001684
                  44,            0.020721,            0.013641,            0.007439,             0.89652,             0.95448,             0.94827,             0.70199,            0.025439,            0.011614,            0.010838,            0.001486,            0.001486,            0.001486
                  45,            0.020219,            0.014242,           0.0080068,             0.89775,             0.95419,             0.94643,             0.67451,             0.02672,            0.011787,            0.011173,            0.001288,            0.001288,            0.001288
                  46,            0.020768,            0.013364,            0.005912,             0.89623,             0.95427,             0.94568,              0.6733,            0.025927,            0.011763,            0.011346,             0.00109,             0.00109,             0.00109
                  47,            0.020299,            0.012548,           0.0081464,             0.88698,             0.95441,             0.94546,             0.67122,            0.025673,            0.011791,            0.010796,            0.000892,            0.000892,            0.000892
                  48,            0.018873,            0.013841,           0.0066921,               0.883,             0.95185,             0.94312,             0.66305,            0.026173,            0.011818,            0.010843,            0.000694,            0.000694,            0.000694
                  49,            0.019801,              0.0136,           0.0072179,             0.88189,             0.95185,             0.94324,             0.67334,            0.026028,            0.011871,            0.010935,            0.000496,            0.000496,            0.000496
